Name,Type,Group,!Active,Instruction,Rating,RatingCount,text
Wild Woosey,Challenge Course,Small (8-15 ppl),High Energy,In advance assess your group’s physical abilities and spotting skills as required for this exercise.Objective: Challenge two people facing one another to work together and traverse the foot cables starting from the narrow end as far along the activity as possible using each other for support.For safety purposes the two participants must not interlock their fingers.Minimum of six spotters positioned as guided by prescribed spotting protocols (go to Participant Responsibilities tab.)As in all traversing elements spotters will move with the participant.When one or more of the participants step off or fall from the cables invite them to have another attempt or swap with another pair.Allow as many attempts as possible within your allotted time frame.Process your group’s experience at the conclusion of the task.,0.0,0,wild wild woosey woosey challenge challenge course course small small 8 8 15 15 ppl ppl high high energy energy
Loop de Loop,Team-Building,Small (8-15 ppl),Active,Tie the two ends of your rope (forming a circle) and place on the ground.Invite your group to stand on the outside of the rope circle.Explain that when the activity starts the group will be challenged to manipulate the rope to form a prescribed number of loops (eg ten) and pass an object through all of the loops as quickly as possible.Clarify that a loop is defined as anytime the rope crosses over itself to form an open shape eg by twisting the rope on itself or when two sections of the rope are pinched or knotted together.Announce that the timer will start when the rope is first picked up and will stop when all of the loops have been removed from the rope and it has been placed back on the ground.Invite your group to assign two people (only) as responsible for touching and passing the object.Once all questions have been answered allow up to 5 minutes of planning time before recording the first attempt.Allow multiple attempts with ample discussion for problem-solving between attempts.Aim to record the fastest time possible to complete the task.,0.0,0,loop loop de de loop loop team team building building small small 8 8 15 15 ppl ppl active active
County Fair,Team Puzzles,Small (8-15 ppl),Passive,In advance visit the Resources tab to download the Print+Play County Fair mystery puzzle clues.Print each of the 13 clues on separate slips of paper.Gather your group and ask them to sit or stand a small distance away from one another.Distribute one clue (small slip of paper) to each person.Instruct each person that they may read their clue out loud to others but they must never show or display it to anyone.Announce that the group now has all of the information it will need to solve the problem.Explain that the focus of this problem-solving activity is on a fictitious pie-baking competition.Your group’s task is to identify which person baked which pie and what prize did each pie win?Allow 30 to 40 minutes (or other timeframe as you choose) for your group to solve the puzzle.Remind your group that the solution is found within the clues.In conclusion invite your group to reflect on their decision-making process.,0.0,0,county county fair fair team team puzzles puzzles small small 8 8 15 15 ppl ppl passive passive
Bank Robbery,Team Puzzles,Medium (15-30 ppl),Passive,In advance visit the Resources tab to download the Print+Play Bank Robbery mystery clues.Print each of the 24 clues on separate slips of paper.Gather your group and ask them to sit a small distance away from one another.Announce that the local (fictional) bank has been robbed and your group’s task is to act as detectives to solve the mystery.Distribute one clue (small slip of paper) to each person.Instruct each person that they may read their clue out loud to others but they must never show or display it to anyone.Explain that the group has all of the information it will need to solve the case.Challenge your group to identify who committed the robbery and the alibis for all other suspects ie where were they when the robbery actually occurred.Allow 20 to 30 minutes (or other timeframe as you choose) for your group to solve the case.Remind your group that the solution is found within the clues.In conclusion invite your group to reflect on their decision-making process.,0.0,0,bank bank robbery robbery team team puzzles puzzles medium medium 15 15 30 30 ppl ppl passive passive
Crossword Names,Ice-Breakers,Medium (15-30 ppl),Active,In advance visit the Resources tab to download a set of Print+Play alphabet letter cards or make/collect your own.Lay these cards on a flat surface in front of your group eg table or floor.Invite one volunteer to find the letters belonging to their first name and lay them side-by-side on the table/floor to spell their name.When ready invite all group members to find the letters of their first name and lay them in a manner that they intersect and connect with the letters/names belonging to other people ie crossword-style.Challenge your group to arrange all of the letters in a way that connects the names of everyone to the group.In conclusion invite your group to review all of the names represented.,0.0,0,crossword crossword names names ice ice breakers breakers medium medium 15 15 30 30 ppl ppl active active
Treasure Hunt,Team Puzzles,Medium (15-30 ppl),Active,In advance locate or identify a variety of hidden ‘treasured items’ within a defined area for your group to uncover eg note the year marked on a commemorative statue.Based on this list of treasured items develop a list of cryptic or navigational clues or a map that will guide your teams to the location of each item eg “Travel north-west for 100 metres and look up” or “What is the address of the upside-down building?”Note the description of your clues will be guided by your preference to develop a list of treasures which can be located randomly (at any time in any order) or in a prescribed sequence which every team follows.Form small teams of approximately 3 to 6 people.Copy your list or map of treasures and distribute it to every small team.Challenge each team to locate and identify a response to every item on the list within a set time limit eg 1 hour.Answer any questions and describe any boundaries if necessary.When ready announce the time has started.All teams must return before the allotted time expires.Award points for each correctly identified treasure on the list.The team with the most points wins.,0.0,0,treasure treasure hunt hunt team team puzzles puzzles medium medium 15 15 30 30 ppl ppl active active
Pay-Off,Trust Exercises,Medium (15-30 ppl),Passive,Form four teams of (roughly) an equal number of people.Invite each team to sit in an area located well away from all other teams.Distribute one card of each of the two colours eg red and black to each team.Announce that the objective of this game is to win as many points as possible over the course of 8 rounds.All teams start with zero points.Display the Pay-Off formula (download from the Resources tab) and allow each team to study how points can be won or lost.Under no circumstances are any teams or players entitled to communicate with others at any time during the game unless directed by you.Before each round allow one minute for each team to agree on which one of the two coloured cards they will present (secretly) to the other teams.When ready ask each team to reveal their card simultaneously.After each round record the score won or lost for each team on the score sheet (download from the Resources tab) for all to see.Progress to the next round and continue as above.At the end of the last round announce the winners and losers.Conclude by facilitating a group discussion to reflect on the results of the game.,0.0,0,pay pay trust trust exercises exercises medium medium 15 15 30 30 ppl ppl passive passive
We Engage Cards,Reflection,Medium (15-30 ppl),Passive,Lay a set of We Engage Cards image-side up on a table.Invite your group to browse all of the images.Pose a question/statement to your group to reflect on eg What is one value that guides your life?Ask one person at a time to select an image and share the story of how it represents their response to your question/statement.Continue sharing.,0.0,0,engage engage cards cards reflection reflection medium medium 15 15 30 30 ppl ppl passive passive
Overhand Knot,Team-Building,Mini (3–8 ppl),Physically Challenging,Form small groups of 6 to 10 people.Distribute a short length of rope to each team.Ask each team to form a straight line holding hands but ask the middle two people to hold the two ends of the rope between them.Without letting go of the rope or their partner’s hands challenge each team to tie a simple overhand knot in the middle of the rope length.Note the two outside people are not permitted to use their unclasped hands to assist in any way.Allow ample time for teams to problem-solve and apply trial-and-error techniques.When successful invite your teams to reflect on their process and/or present a more challenging knot to solve (see Variations tab.),0.0,0,overhand overhand knot knot team team building building mini mini 3 3 8 8 ppl ppl physically physically challenging challenging
Geared Up,Energisers,Large (30+ ppl),High Energy,"Form pairs.Ask the taller person of each pair to separate from their partner and form one large circle facing out.Invite their partners to face them forming a new concentric circle facing in.Explain that you will soon announce a series of numbers that will trigger a unique action for each partnership of two people facing each other.For example:
1 – Perform a High 10 with your partner using the backs of your hands.
2 – Switch places with your partner (inside to outside circle and vice-versa.)
3 – Each person steps two spaces (people) to their left.
4 – Spin full 360 degrees on the spot & finish facing one another.
5 – Perform a High 5 with left hand and Low 5 with right hand.Practice each of these commands several times starting with the first two or three commands before eventually introducing all five.When ready start announcing a series of up to six of seven numbers in quick succession eg 2 4 5 2 1 4.As your group gains familiarity and competence with the commands extend the series up to 20 numbers in succession before taking a short break and starting a new round.Continue playing for up to 20 minutes or until your group is exhausted.",0.0,0,geared geared energisers energisers large large 30 30 ppl ppl high high energy energy
Name That Tune,Fun Games,Large (30+ ppl),Passive,In advance create a specific music playlist of songs featuring short snippets of popular and not-so-common songs and tunes.Once assembled challenge each person in your group (or small teams) to accurately guess the song title and/or artist of every song as you play them one after another.Each correct answer will earn the person or team one point.The first person or team to earn 10 points (or the highest number of points) wins.,0.0,0,name name tune tune fun fun games games large large 30 30 ppl ppl passive passive
Paper Stone Stacking,Health & Wellness,Solo (1 person),Passive,Distribute five sheets of paper to each person leaving extras in a location for your group to grab if needed.Using one sheet at a time invite each person to write one hope or dream on their paper.When ready ask each person to crumple these sheets tightly into a ‘stone.’Create five stones from all five sheets of paper.Instruct each person to attempt to stack and balance all five stones on top of each other.Consider inviting your group to reflect on the value of this exercise.,0.0,0,paper paper stone stone stacking stacking health health wellness wellness solo solo 1 1 person person passive passive
Mrs O’Grady,Fun Games,Mini (3–8 ppl),Active,"Form small groups of 6 to 8 people standing in a circle.Ask one person in each circle to volunteer to start by turning to the person on their left and initiate the following sequence of responses:
– Volunteer – “DID YOU HEAR WHAT HAPPENED TO MRS O’GRADY?”
– Partner – “NO WHAT HAPPENED?”
– Volunteer – “SHE DIED!”
– Partner – “HOW DID SHE DIE?”The volunteer responds with “WITH ONE COCKED-EYE” and closes one of their eyes tightly.At this juncture their partner turns to the person on their left and initiates the exact same set of responses eventually closing one of their eyes tightly.This sequence continues all the way around the circle until everyone has one of their eyes closed.Keeping one’s eye closed this sequence of partner interactions continues around the circle a second time with the added embellishment of “… WITH HER MOUTH AWRY” in which case each person twists their mouth to the side.On the third rotation the response is “… BREATHING A SIGH.”On the fourth rotation the response is “… WITH HER LEG HELD HIGH.”On the fifth and final rotation the response is “… WAVING GOODBYE.”The challenge is to maintain all of the progressive series of physical gestures at the same time – all the way around the circle – for as long as possible.As soon as physical fatigue sets in – or the hysterical monotony gets too much – conclude the activity.",0.0,0,mrs mrs grady grady fun fun games games mini mini 3 3 8 8 ppl ppl active active
Texas Big Foot,Fun Games,Large (30+ ppl),Active,Form a tight circle with people holding their neighbour’s hands.On your command ask everyone to take one large stride into the circle.When ready ask your group to take a second large stride into the circle (if they can.)If your group is still standing ask them to take one final stride forward.,0.0,0,texas texas big big foot foot fun fun games games large large 30 30 ppl ppl active active
Spaghetti Junction,Team Puzzles,Mini (3–8 ppl),Passive,In advance form 5 x independent rope circles by tying their ends together. Then after threading the sixth rope through the loops of each of these five rope circles tie the ends of this sixth rope.Lay this bunch of rope circles on a flat surface and then purposefully twist and turn some of the ropes so that is looks tangled ie so that it is not obvious which rope is threaded through all other rope rings.Challenge your group to examine this bunch of ropes closely from all sorts of angles to determine which one rope is threaded through all others.Ultimately invite your group to make their decision by consensus.Importantly people are entitled to point describe and look closer but they are never permitted to touch or hold any of the ropes.Allow ample time for your group to discuss and solve the problem.When ready ask your group to nominate which one (coloured) rope they believe is the one threaded through all other rope rings.Pick up the nominated rope ring and shake out the tangles.If the nominated rope has all other rope circles hanging off it your group succeeded.Regardless of the result invite your group to reflect on their decision-making process.,0.0,0,spaghetti spaghetti junction junction team team puzzles puzzles mini mini 3 3 8 8 ppl ppl passive passive
Mindfulness Jar,Health & Wellness,Medium (15-30 ppl),Passive,In advance gather all of the resources you will need for this activity including the breathing meditation script from the Resources tab.Gather your group to sit or stand next to a surface that they can work on eg table floor.Distribute one jar to each person and direct access to the other resources (when required.)By way of demonstration announce that you are going to make a mindfulness jar.Place a spoonful of glitter into your jar.Fill your jar approximately halfway with warm water and carefully swirl the container to separate the glitter.Add glycerin (or corn syrup) to your jar sufficient to thicken the liquid ie this makes the glitter fall slowly.Add a drop or two of dish soap ie to prevent the glitter from sticking together.Finally close your jar tightly and give it a few shakes.Hold your jar out towards your group so they can watch the glitter fall softly.Allow up to 15 minutes for each person in your group to create their own glitter-filled jars.Monitor and assist those who need help.When ready lead the breathing meditation.Upon conclusion invite your group to reflect on their experience.,0.0,0,mindfulness mindfulness jar jar health health wellness wellness medium medium 15 15 30 30 ppl ppl passive passive
FFEACH,Fun Games,Large (30+ ppl),Active,In advance visit the Resources tab to download a sample list of names representing the topics of fast foods electric appliances and comic book heroes/heroines.Form teams of approx 4 to 8 people.Locate each team well apart from one another.Invite one person from each team to approach you.Leaning in close to these volunteers whisper the name of the first topic on your list.Instruct these volunteers to return to their group and use a series of non-verbal gestures to communicate this topic to their team as quickly and effectively as possible.As soon as the topic is identified correctly a new person from the team returns to you to check their answer.If the answer is correct you whisper the next topic on your list.This person returns to their group to continue the ‘charade & guessing’ process.Game continues for up to 15 minutes or until the energy starts to wane.,0.0,0,ffeach ffeach fun fun games games large large 30 30 ppl ppl active active
Dolphin Golf,Tag & PE Games,Pairs (2 people),High Energy,,0.0,0,dolphin dolphin golf golf tag tag pe pe games games pairs pairs 2 2 people people high high energy energy
Panic Picture,Energisers,Small (8-15 ppl),Passive,Assemble your group in front of you.Drawing from a pile of We Engage Cards or any set of images/photographs display one random image to your group.Show this image for 5 seconds (and then hide it.)Immediately invite one person to volunteer and respond to this image by sharing a quick story that is inspired by it.Allow up to 30 seconds for their story to be shared.Show your next image for 5 seconds and again invite someone to share their story.Continue to show all of your images or until you are ready to move on.,0.0,0,panic panic picture picture energisers energisers small small 8 8 15 15 ppl ppl passive passive
Rose Debrief,Reflection,Medium (15-30 ppl),Passive,Gather your group.Describe the two essential elements of a rose – the flower and the thorn.Provide an appropriate framing and then ask your group to share something that was negative painful or disappointing about their experience ie the thorn of the experience.Next ask your group to share something that was positive beautiful or meaningful about their experience ie the rose of the experience.Invite as many people who wish to share to speak.,0.0,0,rose rose debrief debrief reflection reflection medium medium 15 15 30 30 ppl ppl passive passive
Rhyme or Reason,Fun Games,Small (8-15 ppl),Passive,Form a circle preferably seated.Select an order and sequence for the game ie who goes first then in a clockwise direction.The first person starts by saying any one word eg “BALL.”The next person must say a word that either rhymes with or is related to this word.For example in the case of “BALL” the words “BOUNCE” “ROUND” “THROW” “TALL” and “FALL” are all acceptable.When someone hesitates repeats a word from that round says more than one word says a word that does not rhyme or is not related they are eliminated.Encourage each person to respond quickly lest they are eliminated ie each person is expected to respond within 1 to 3 seconds.Allow the group to determine if a word is related or not.Play continues until one person is remaining and is declared the winner.,0.0,0,rhyme rhyme reason reason fun fun games games small small 8 8 15 15 ppl ppl passive passive
On Par,Fun Games,Large (30+ ppl),Passive,Form teams of 4 to 6 people sitting in a circle.Distribute a pen one dice and a copy of the Scoring Worksheet (download from Resources tab) to each team.Ask one person in each team to volunteer to roll the dice to start the first game.Instruct this person to observe the rolled number and enter it in the ‘Roll’ column for Round 1.Then calculate the difference between the desired number (Par) and this rolled number and record this in the ‘Score’ column eg for this first round Par = 1 so if you roll 4 you will write 3 as the score.Announce that there are no negative numbers only a number representing the difference between the rolled and Par numbers eg for the fifth round the Par = 5 so if you roll 4 you will write 1 as the score.Taking turns and progressing to the left around the circle each person rolls the dice and repeats these steps for each consecutive Rounds 2 to 6 recording their Roll and the Score on the group’s worksheet.For Rounds 7 to 12 the next two people (taking turns) will roll the dice (one at a time) and add the sum of their two rolls to the Roll column and then calculate the difference from Par to determine the Score for that round.Continuing around the circle the next two people roll the dice for Rounds 8 through 12 repeating the process described above.When all 12 Rounds have been rolled tally the numbers recorded in the Score column.The team with the lowest total Score wins.Play a new game or try a variation.,0.0,0,par par fun fun games games large large 30 30 ppl ppl passive passive
Tweener,Fun Games,Small (8-15 ppl),High Energy,Form a circle facing in with the feet of each person shoulder-width apart and touching the feet of their neighbours.Announce that the space between each person’s legs is their own ‘goal’ to protect.Challenge each player to prevent goals from being scored through their legs.To start hit the inflatable ball to the other side of the circle.Explain that all hits of the ball must be with the palm of one’s hand ie not clenched fists.When a goal is scored – the ball passes between someone’s legs – invite everyone to instantaneously call “GOOOOAAAALLLL” as if watching a World Cup soccer match.As a penalty every time a person has a goal scored against them they will put one arm behind their back ie it cannot be used to defend their goal.A person may continue to play the game with both arms behind their back (but possibly not for much longer.)When a third goal is scored against a person they will be invited to turn around and play from a backward stance (although able to use both arms again.)When the ball passes between the bodies of two people (and travels outside of the circle) this is called a ‘tweener’ and all players regain the use of all arms (or turn around forward) to resume play.Play continues for as long as your group is enjoying the competition.,0.0,0,tweener tweener fun fun games games small small 8 8 15 15 ppl ppl high high energy energy
Curiosity Ping Pong,Ice-Breakers,Medium (15-30 ppl),Passive,Pose a question to your group eg What is something strange you believed as a child?Ask each person to briefly write their response into the Chatroom but not hit the Enter key.When ready invite your group to hit the Enter key at the same time to populate the Chatroom simultaneously with their responses.Allow up to a minute for your group to scan the many responses.Invite a volunteer to choose one response they are curious to learn more about and ask its author to describe the story behind it.When this person has shared (audibly) ask them to choose another response that they are curious about and invite its author to share their story and so on.If a nominated person chooses not to share simply ask the current volunteer to pick another response they are curious about.Continue sharing for 10 or more minutes.,0.0,0,curiosity curiosity ping ping pong pong ice ice breakers breakers medium medium 15 15 30 30 ppl ppl passive passive
Inner World Art,Health & Wellness,Small (8-15 ppl),Passive,In advance visit the Resources tab to download a sample script to guide your facilitation of this exercise.Gather all of the resources you will need for this activity.Invite your group to sit in a circle at their desks or find a space on the floor.Announce that you will soon lead your group through a brief exercise to help them relax and connect to their inner selves.When ready lead a short meditation following the Body Scan script step by step.Close the meditation by gently returning your group’s presence back to the room.Pose a series of questions that invite your group to reflect on their experience such as What does your inner world look and feel like? or Notice which areas of your body are tense or flexible?Allow a few moments for contemplation.When ready inspire your group to decorate their inner world using paper and craft supplies.Allow up to 30 minutes for your group to complete their artwork.To conclude invite one or more volunteers to share their artwork and a description of their inner world with the rest of the group.,0.0,0,inner inner world world art art health health wellness wellness small small 8 8 15 15 ppl ppl passive passive
Luminaria Circle,Health & Wellness,Medium (15-30 ppl),Passive,Gather all of the craft materials.Distribute one paper bag to each person.Instruct each person to use the craft materials to create a unique and meaningful lantern case to symbolise [ enter a particular topic or framing… ] such as letting go goal-setting forgiveness etc.Allow 5 to 10 minutes for the lanterns to be produced.When ready ask your group to sit in a circle placing their lanterns directly in front of them.Place a little bit of sand in the base of the bags and a votive candle on top before lighting them.With the mood now set lead your group in an exercise of sharing contemplation and reflection as desired.,0.0,0,luminaria luminaria circle circle health health wellness wellness medium medium 15 15 30 30 ppl ppl passive passive
Number Shuffle,Team-Building,Small (8-15 ppl),Active,In advance prepare a set of large printed numbers 0 to 9 on individual sheets of paper (see Resources tab.)Also write a long list of small and large numbers which utilise only one instance of each digit.When ready distribute one printed number so that each person is holding one of each of the ten numbers.Challenge your group to shuffle the numbers they are holding as fast and as accurately as they can to match each number you announce over several rounds.Announce your first number or write it on a whiteboard / flip-chart paper eg 96471.In this case the five people holding these particular numbers will shuffle their positions to represent the number 9 – 6 – 4 – 7 – 1 while the rest of the group steps back and looks on.Continue to announce more numbers bouncing between small and large numbers regularly.Play for up to 5 minutes and/or try something new from the Variations tab.,0.0,0,number number shuffle shuffle team team building building small small 8 8 15 15 ppl ppl active active
Emotional Check-In,Health & Wellness,Medium (15-30 ppl),Passive,,0.0,0,emotional emotional check check health health wellness wellness medium medium 15 15 30 30 ppl ppl passive passive
Paper Bag Pick Up,Fun Games,Mini (3–8 ppl),Physically Challenging,Place an empty paper bag standing upright and stiff in front of your group.Challenge one person at a time to attempt to lift the paper bag off the floor using their mouth only with their feet only ever touching the ground.Invite a small group of no more than 10 volunteers to start the first round of attempts.To stay in the game a participant must be standing fully upright with the bag in their teeth or between their lips.An attempt is deemed unsuccessful if at any point a participant falls forward or uses their hands (or any other part of their anatomy) to brace themselves.If a person does not successfully lift the bag after three consecutive attempts (at the same height) they are eliminated.Once every person in the group has made an attempt invite one of them to tear a portion off the top of the paper bag walls ie to make it shorter for the next round.When ready commence the second round of attempts with the remaining successful participants.Continue with successive rounds gradually reducing the height of the paper bag walls and eliminating more participants.Acknowledge the last person standing as the winner.,0.0,0,paper paper bag bag pick pick fun fun games games mini mini 3 3 8 8 ppl ppl physically physically challenging challenging
Wiki Journey,Energisers,Medium (15-30 ppl),Passive,Assemble your group as part of a virtual meeting.Ask each person to open their favourite internet browser.Instruct everyone to navigate to the Wikipedia page for a particular person place or thing eg Nelson Mandela or copy & paste the exact URL link via the chatroom.When ready announce a second Wikipedia page for another person place or thing eg QANTAS.Starting from the first Wikipedia page challenge each person to click on as many hyperlinks page after page until they finally land on the destination Wikipedia page.The first person to verify that they have landed on the destination page wins.,0.0,0,wiki wiki journey journey energisers energisers medium medium 15 15 30 30 ppl ppl passive passive
Look Left,Energisers,Large (30+ ppl),Active,Ask your group to face their screens.Announce that over the course of 20 to 30 seconds you will call a series of commands that will require each person to look to the left or right.Challenge each individual to respond to each of your commands as quickly and accurately as possible.Instruct each person to hold their look (to left or right) for a half-second before returning to equilibrium (facing the screen.)When ready start issuing a random series of these two commands.Next add two new commands of Up (to the ceiling) and Down (to the ground.)When ready start announcing a random series of all four commands.Continue play for another 20 to 30 seconds and/or try a variation.,0.0,0,look look left left energisers energisers large large 30 30 ppl ppl active active
Calming Visualisations,Health & Wellness,Medium (15-30 ppl),Passive,Optional: visit the Resources tab to download one of six sample scripts to guide your facilitation of this exercise.Gather your group to sit in a circle at their desks or find a comfortable space on the floor.Announce that you will soon lead them through a brief exercise to help them calm their minds and bodies.Facilitate the visualisation step by step making adjustments according to the needs of your group.Conclude this calming visualisation by gently inviting your group back.If desired invite your group to reflect on their experience.,0.0,0,calming calming visualisations visualisations health health wellness wellness medium medium 15 15 30 30 ppl ppl passive passive
Balloonarama,Fun Games,Medium (15-30 ppl),Active,Distribute one balloon to each person in your group.Refer to the Narrative tab for a sequence of eight unique activities involving balloons.Start by presenting a series of activities that invite each person to play with their own balloon.When ready form small teams of 3 to 5 people to engage in a series of team-based events to promote higher levels of interaction.Eventually challenge your group to tackle one or more problem-solving activities using their entire collection of balloons.Process as required.,0.0,0,balloonarama balloonarama fun fun games games medium medium 15 15 30 30 ppl ppl active active
